48.32727,20.43670,Odonata,Agrion,splendens splendens
48.32727,20.43670,Odonata,Sympecma,fusca
48.32727,20.43670,Odonata,Coenagrion,pulchellum interruptum
48.32727,20.43670,Odonata,Orthetrum,cancellatum cancellatum
48.32727,20.43670,Odonata,Platycnemis,pennipes pennipes
48.32727,20.43670,Odonata,Aeshna,affinis
48.32727,20.43670,Odonata,Anax,imperator imperator
48.32727,20.43670,Odonata,Enallagma,cyathigerum cyathigerum
48.32727,20.43670,Odonata,Cordulia,aeneaturfosa aeneaturfosa
48.32727,20.43670,Odonata,Chalcolestes,viridis viridis
48.32727,20.43670,Odonata,Sympetrum,sanguineum sanguineum
48.32883,20.43540,Odonata,Agrion,splendens splendens
48.32883,20.43540,Odonata,Libellula,quadrimaculata quadrimaculata
48.32883,20.43540,Odonata,Sympetrum,sanguineum sanguineum
48.45320,20.72743,Odonata,Coenagrion,puella puella
48.45320,20.72743,Odonata,Ischnura,elegans pontica
48.45320,20.72743,Odonata,Gomphus,vulgatissimus vulgatissimus
48.45320,20.72743,Odonata,Agrion,splendens splendens
48.45320,20.72743,Odonata,Platycnemis,pennipes pennipes
48.38013,20.72343,Odonata,Platycnemis,pennipes pennipes
48.38013,20.72343,Odonata,Gomphus,vulgatissimus vulgatissimus
48.38013,20.72343,Odonata,Agrion,virgo virgo
48.38013,20.72343,Odonata,Agrion,splendens splendens
48.38013,20.72343,Odonata,Orthetrum,coerulescens anceps
48.44208,20.75280,Odonata,Platycnemis,pennipes pennipes
48.44208,20.75280,Odonata,Coenagrion,puella puella
48.43603,20.74002,Odonata,Agrion,splendens splendens
48.43603,20.74002,Odonata,Agrion,virgo virgo
48.43603,20.74002,Odonata,Platycnemis,pennipes pennipes
48.45047,20.73298,Odonata,Aeshna,mixta
48.44992,20.76337,Odonata,Agrion,splendens splendens
48.44992,20.76337,Odonata,Sympetrum,pedemontanum pedemontanum
48.44992,20.76337,Odonata,Ischnura,pumilio
48.44992,20.76337,Odonata,Platycnemis,pennipes pennipes
48.44992,20.76337,Odonata,Aeshna,mixta
48.44992,20.76337,Odonata,Sympetrum,striolatum striolatum
48.44992,20.76337,Odonata,Ischnura,elegans pontica
48.44992,20.76337,Odonata,Coenagrion,puella puella
48.44992,20.76337,Odonata,Platycnemis,pennipes pennipes
48.44992,20.76337,Odonata,Sympecma,fusca
48.44992,20.76337,Odonata,Erythromma,viridulum viridulum
48.44992,20.76337,Odonata,Coenagrion,pulchellum interruptum
48.44992,20.76337,Odonata,Lestes,sponsa sponsa
48.44992,20.76337,Odonata,Anaciaeschna,isosceles isosceles
48.44992,20.76337,Odonata,Enallagma,cyathigerum cyathigerum
48.44992,20.76337,Odonata,Orthetrum,cancellatum cancellatum
48.44992,20.76337,Odonata,Aeshna,mixta
48.44992,20.76337,Odonata,Sympetrum,sanguineum sanguineum
48.46427,20.94108,Odonata,Ischnura,elegans pontica
48.46427,20.94108,Odonata,Ischnura,pumilio
48.46427,20.94108,Odonata,Gomphus,vulgatissimus vulgatissimus
48.46427,20.94108,Odonata,Agrion,virgo virgo
48.46427,20.94108,Odonata,Coenagrion,ornatum
48.46427,20.94108,Odonata,Coenagrion,puella puella
48.46427,20.94108,Odonata,Libellula,depressa
48.46427,20.94108,Odonata,Sympecma,fusca
48.46427,20.94108,Odonata,Platycnemis,pennipes pennipes
48.46427,20.94108,Odonata,Agrion,splendens splendens
48.38013,20.72343,Odonata,Ophiogomphus,cecilia cecilia
48.38013,20.72343,Odonata,Onychogomphus,forcipatus forcipatus
48.43623,20.73755,Odonata,Agrion,splendens splendens
48.43623,20.73755,Odonata,Gomphus,vulgatissimus vulgatissimus
48.43623,20.73755,Odonata,Platycnemis,pennipes pennipes
48.43623,20.73755,Odonata,Ischnura,elegans pontica
48.43603,20.74002,Odonata,Ischnura,elegans pontica
48.33888,20.73945,Odonata,Gomphus,vulgatissimus vulgatissimus
48.33888,20.73945,Odonata,Agrion,virgo virgo
48.33888,20.73945,Odonata,Platycnemis,pennipes pennipes
48.33888,20.73945,Odonata,Agrion,splendens splendens
48.33505,20.72903,Odonata,Agrion,virgo virgo
48.33505,20.72903,Odonata,Platycnemis,pennipes pennipes
48.33505,20.72903,Odonata,Agrion,splendens splendens
48.35488,20.73570,Odonata,Onychogomphus,forcipatus forcipatus
48.35488,20.73570,Odonata,Agrion,virgo virgo
48.35488,20.73570,Odonata,Agrion,splendens splendens
48.35488,20.73570,Odonata,Platycnemis,pennipes pennipes
48.49502,20.65715,Odonata,Platycnemis,pennipes pennipes
48.49095,20.65308,Odonata,Agrion,virgo virgo
